time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
6.11,1.299999952,101,24.11825371,0.031807095,-79.78282365,40.45904285,264.6321382,0.016970975,-0.002630055,-0.726654232,0.686788738,0.004684411,0.001781516,0.010079796,0.00065601,-0.002190804,-0.004770431,0.269071999,-0.203667493,-9.802865227
6.3,1.299999952,106,24.12451363,0.031807095,-79.78282365,40.45904285,264.633145,0.016970975,-0.002630055,-0.726654232,0.686788738,0.00510696,0.002226638,0.010133532,0.002374503,-0.001862031,0.003055278,0.266578892,-0.201421285,-9.806089382
6.4,1.299999952,102,24.12701797,0.031807095,-79.78282357,40.45904284,264.634088,0.016965566,-0.002635072,-0.726655126,0.686787963,-0.000564097,0.002247643,0.006242044,0.00342202,-0.004826024,-0.009041265,0.271499818,-0.199498849,-9.806424428
6.6,1.299999952,104,24.13077354,0.06361419,-79.7828235,40.45904281,264.6351627,0.016965494,-0.002633692,-0.726654947,0.686788142,0.000528872,0.002407057,0.0038428,0.000281311,0.002498919,0.004069534,0.266697536,-0.202690021,-9.804096066
6.7,1.5,107,24.12200928,0.023855321,-79.78282349,40.45904281,264.6359517,0.016965896,-0.002634089,-0.726656556,0.686786354,0.000969386,0.002774672,0.00397236,0.002619783,-0.005551656,0.000171086,0.269760947,-0.197974717,-9.806108093
6.9,1.5,105,24.12200928,0.039758869,-79.78282341,40.45904276,264.6395763,0.016967729,-0.002631313,-0.726659238,0.686783552,0.005078877,0.003110999,0.006554979,0.000366879,0.003594434,0.005793618,0.265990461,-0.20479215,-9.802764071
7,1.600000024,103,24.12451363,0.071565963,-79.78282331,40.45904271,264.6438755,0.016966408,-0.002627038,-0.726659477,0.686783314,0.006668462,0.005974326,0.007581305,-0.000423598,-0.00101156,0.003589233,0.265667677,-0.20158064,-9.804623485
7.2,1.700000048,107,24.12200928,0.031807095,-79.7828233,40.4590427,264.6446372,0.016966544,-0.002627093,-0.726660132,0.686782598,0.006784636,0.006177689,0.007655171,-0.00456062,-0.000665537,-0.000775798,0.269142001,-0.206840521,-9.80218695
7.3,1.700000048,101,24.12200928,0.039758869,-79.78282323,40.45904268,264.6478053,0.016965335,-0.002636637,-0.726660967,0.686781764,0.001322586,0.001003062,0.005306697,-0.001116193,0.002224542,0.00492937,0.266808286,-0.206627043,-9.80247054
7.5,1.700000048,104,24.12576485,0.039758869,-79.78282323,40.45904268,264.6483354,0.016965335,-0.002636637,-0.726660967,0.686781764,0.001251943,0.001194225,0.005206353,-0.001743076,-0.002605818,-0.007286624,0.270411322,-0.199509629,-9.804594834
7.6,1.799999952,106,24.1232605,0.031807095,-79.78282314,40.45904262,264.651924,0.01696806,-0.002631707,-0.726661742,0.68678081,0.00620229,0.002120979,0.003420124,-0.000143606,-0.003751795,-0.007035143,0.267346979,-0.201926558,-9.802330207
7.8,1.799999952,108,24.12200928,0.071565963,-79.78282313,40.45904262,264.6522797,0.01696806,-0.002631707,-0.726661742,0.68678081,0.006647647,0.002602332,0.003723573,0.002273336,-0.000742825,0.00221714,0.264970835,-0.201031678,-9.806253689
7.9,1.799999952,106,24.12451363,0.031807095,-79.78282307,40.4590426,264.6590922,0.016965386,-0.002640426,-0.72666198,0.686780632,0.000366337,-0.001848069,0.006998215,-0.000598267,-0.00072518,-0.001305725,0.269928104,-0.196900529,-9.806011029
